cluster_idx	number_subjects	percent_subjects	mean_length	std_length	mean_fibers_per_subject	std_fibers_per_subject
1	20	40.0	35.034554018275976	2.093843362410773	3.04	5.347747189237727
2	34	68.0	32.016546428139755	2.478026982116556	3.76	3.7659527347007424
3	35	70.0	27.295498785489702	2.1044044987033494	3.2	3.611094017053558
4	46	92.0	31.554568170863156	2.2633240923839844	4.66	4.606994682002574
5	33	66.0	32.59868424800992	3.2474618039345744	2.58	2.905787328763067
6	30	60.0	45.56612472854456	3.8851357735821392	1.52	1.9620397549489155
7	47	94.0	43.26834056278483	3.911834545213484	2.62	2.1155613912151074
8	40	80.0	53.16415135945724	3.9654070697128563	2.78	2.640378760708395
9	34	68.0	28.039510756393888	1.6799174312681031	2.7	3.093541659651604
10	27	54.0	22.18600327287875	1.5382033212590118	2.46	4.128970816075115
11	41	82.0	29.70044303660975	1.9434306776844383	3.8	3.538361202590827
12	32	64.0	51.178147891291985	4.354718293116948	1.84	2.1481154531356084
13	42	84.0	31.54018626135657	2.5012254341934175	2.8	3.006659275674582
14	42	84.0	28.9383139404049	1.8890886819571102	4.28	4.069594574401729
15	36	72.0	32.55380984853878	2.276962108630097	4.38	4.807868550615751
16	39	78.0	35.26798480600314	3.3801373936468986	2.6	2.734958866235469
17	38	76.0	34.46305122412482	2.9094903030636807	2.96	5.249609509287334
18	41	82.0	33.726527115216165	2.537458988905998	3.4	3.346640106136302
19	47	94.0	32.48279136250924	2.5656697964576165	3.98	2.5572641631243336
20	27	54.0	31.75335324068447	1.64833448685282	2.7	4.220189569201838
21	40	80.0	24.149485987134266	1.977490890562082	5.3	6.8212902005412435
22	34	68.0	36.514815923452645	4.827329142277761	1.86	2.02
23	42	84.0	28.822766584991754	3.621925157129774	3.62	3.27957314295626
24	43	86.0	28.75863522501351	2.7893943566521693	2.3	1.4177446878757824
25	16	32.0	30.27113217775779	2.6319572696449267	1.8	6.161168720299746
26	34	68.0	34.03058562841884	2.51445034760364	1.96	1.999599959991998
27	42	84.0	44.14780823176237	3.595407412241181	3.22	3.2820115782854877
28	39	78.0	32.299996562795094	1.6440626994086502	4.92	4.955158927824616
29	44	88.0	33.764217807022	2.475481892090304	5.36	6.224981927684611
30	29	57.99999999999999	42.17340396282044	3.0195534444665393	2.28	3.527265229607776
31	38	76.0	30.444548981261015	2.58575094370159	4.16	4.500488862334846
32	38	76.0	30.152152641309154	1.7773502829673056	4.04	3.8985125368529983
33	42	84.0	32.72181896225034	2.8630265222985676	3.72	3.5215905497374336
34	29	57.99999999999999	27.600669587574533	2.847048341697404	2.68	3.6024436151035037
35	35	70.0	30.016661231037528	1.764376541229231	3.72	4.976102892826876
36	44	88.0	28.830833954098917	2.086506226271097	5.04	5.184438253080077
37	30	60.0	31.661741013289596	2.281729901041056	2.58	3.8527392852358955
38	41	82.0	42.12597485988639	4.179064342086361	3.06	2.517220689570146
39	33	66.0	30.22833901176963	2.644557719900738	3.38	4.256242474295843
40	24	48.0	26.47994784829483	2.570643166574069	2.22	3.7271436784755156
41	35	70.0	30.780232488471622	2.099927648101301	3.16	4.124851512478964
42	43	86.0	31.56511040047798	2.366296077553696	3.12	2.888875213642846
43	43	86.0	46.10212748840721	4.3571075596346285	3.04	3.492620792470892
44	36	72.0	23.570416271096317	2.216390250908116	3.06	3.366957083183568
45	37	74.0	34.74542812311739	2.3149390270431303	3.24	4.254691528183917
46	36	72.0	35.1340573578856	2.5490371936336165	2.06	2.1298826258740173
47	32	64.0	22.248237632453264	1.5796967651466745	2.8	3.8
48	40	80.0	36.415010554329534	2.413584793601896	2.94	2.533061388912633
49	45	90.0	47.58141084931775	3.6157205134361905	3.02	2.9495084336207618
50	40	80.0	32.278596677748425	2.1029397782337567	4.5	4.045985664828782
51	29	57.99999999999999	49.950352431010934	4.06581787571255	1.92	4.241886372829899
52	43	86.0	48.37114039249005	3.9596556175261166	3.6	3.5888716889852725
53	42	84.0	37.50372683154411	2.331803714344006	3.62	3.381656398867277
54	33	66.0	25.377474785692645	1.9205547855550875	3.94	5.186173926894469
55	39	78.0	43.183645582313055	3.395619809964023	2.14	1.9900753754569194
56	32	64.0	25.958312013573916	2.376927718275964	3.3	4.817675788178362
57	41	82.0	42.4478152012246	3.442359735899707	3.4	3.3346664001066126
58	38	76.0	29.310345664549626	1.79557544906047	3.74	5.125660932991959
59	39	78.0	30.515200106802215	2.072856052818345	4.3	4.754997371187495
60	37	74.0	40.969492486094396	2.946343179237679	2.84	3.0812984276113213
61	36	72.0	42.530919262674395	3.4592568258183953	2.18	2.6884196101055355
62	42	84.0	36.67663271677357	2.8552099637960136	4.08	4.112614740040696
63	38	76.0	39.44330567929091	2.238527856026405	3.22	3.1387258561397173
64	44	88.0	33.22426379995915	2.0617330847340347	4.38	3.877576562751534
65	43	86.0	66.25229717511233	6.236491071054564	2.68	2.4202479211849353
66	42	84.0	34.1873893682619	2.455425146957784	4.64	4.6033031618610565
67	43	86.0	30.17854118724971	2.4800865400882106	3.9	3.7802116342871597
68	28	56.00000000000001	32.43646671472589	1.9057484807222749	4.18	6.098163658020339
69	34	68.0	28.943300852392316	2.289664800229923	2.5	3.3541019662496847
70	31	62.0	22.438782126592802	1.5858245480927307	3.82	9.23187954860764
71	35	70.0	23.602879842295575	2.1510809727749387	3.14	3.9294274392079056
72	40	80.0	28.193624063089295	1.8798750554102563	4.28	4.3865248204016805
73	50	100.0	39.41297807303831	2.598970058907913	4.54	2.758332829808615
74	35	70.0	46.38847346166893	4.295519334810748	3.32	4.017163178164412
75	28	56.00000000000001	34.03637158928631	2.041546580014801	2.4	5.986651818838307
76	39	78.0	26.881091151798003	2.306137225954986	4.06	4.134779316964813
77	34	68.0	35.72583832655958	2.344492043581018	2.7	3.138470965295043
78	43	86.0	29.12870675942291	2.0165815461171985	4.56	4.119029011793921
79	46	92.0	40.25714501180961	3.2765466439127735	4.56	2.631805463935357
80	25	50.0	34.78630996298408	2.4085187869868343	3.02	5.97491422532575
81	35	70.0	39.90337131869981	3.087984341345171	3.44	4.716608951354776
82	43	86.0	42.381065650515765	4.112113396652616	3.44	3.3475961524652282
83	43	86.0	46.56377055954148	3.8003423861046177	4.42	3.9501392380522486
84	48	96.0	32.744053466451255	2.4062991379245777	4.78	3.189294592852783
85	43	86.0	41.84879179079128	3.3726966028441985	3.42	3.6226509630379797
86	39	78.0	43.07096257524296	2.9879577256462513	3.34	3.5077628198040984
87	40	80.0	35.20452663600322	2.678470875527167	2.24	1.9754493159785191
88	39	78.0	25.62631296410701	2.1056384796254135	3.98	6.319778477130351
89	45	90.0	38.1427554021523	2.9840410779256703	3.68	3.2089873792210533
90	37	74.0	25.035880357573163	1.73028214781288	4.4	5.087238936790762
91	31	62.0	35.57076564835914	2.569908511544912	2.82	3.993444628387878
92	35	70.0	24.773853756238605	2.1311051298867487	3.1	4.401136216933078
93	41	82.0	33.204200496910076	1.9942584047853769	3.9	3.8845849199110063
94	28	56.00000000000001	23.090445495662973	1.644724117441564	2.58	3.4990855948375996
95	40	80.0	40.270563086678706	2.9111008617806355	3.98	3.81308274234903
96	43	86.0	32.821561542867016	2.549811833047025	3.88	4.273827324541786
97	37	74.0	35.187423703940865	2.754668978302373	2.58	4.9521308544908225
98	43	86.0	40.4894279773404	3.8368993757958814	3.12	2.6880476186258306
99	27	54.0	52.380940465756595	4.2501521659805315	1.54	2.5156311335328954
100	37	74.0	35.98057983309758	2.646980410099001	3.4	4.503332099679081
101	36	72.0	30.219116010432632	2.611961771310697	3.32	3.885563022265885
102	45	90.0	28.600718452644124	2.443789814911381	3.66	2.9367328785573945
103	44	88.0	33.074397066563265	2.461240531792867	3.46	2.6245761562583776
104	31	62.0	32.583802599766145	2.983409099363978	2.08	2.652093512680124
105	36	72.0	27.955931732652115	2.297466341537729	3.02	3.4899283660270166
106	43	86.0	50.18132112084653	4.873913221403743	2.82	1.976765034089788
107	28	56.00000000000001	22.164036675618743	1.5976772666378598	3.36	5.673658431735206
108	37	74.0	27.805794806951468	1.9570693343227974	3.48	3.6345013413121747
109	41	82.0	36.96894393588462	2.675601814670154	4.86	4.35894482644596
110	35	70.0	22.637399626611675	1.7272313472900935	2.74	4.083185031320525
111	40	80.0	26.14763781133177	2.7803819915700827	3.7	4.396589587396122
112	44	88.0	40.61982057884928	3.607197767424716	2.0	1.6613247725836149
113	45	90.0	39.028325179316695	2.764574206665324	3.68	2.9219171788399483
114	34	68.0	24.911154105835703	1.7018456243377498	4.44	6.80341090924251
115	42	84.0	42.21650907987234	3.141435223058265	3.52	3.0609802351534388
116	48	96.0	37.15500449685354	3.0271007506903898	3.96	3.571890255872932
117	33	66.0	30.54354864569888	2.3468683748621086	2.08	2.784528685433138
118	37	74.0	41.125152123319616	2.4525205092296805	3.66	4.3525165134666635
119	38	76.0	29.62333377240669	1.6164130950483424	4.34	4.514908636949368
120	39	78.0	51.26778045983088	4.984094911044977	2.66	2.4868453912537465
121	42	84.0	26.312510079641378	1.8413130146782166	4.98	5.00995009955189
122	32	64.0	31.862193792482486	2.0670508067916558	2.72	3.9295801302429245
123	47	94.0	44.103114156031864	2.955149951632818	3.76	2.634843448859913
124	35	70.0	29.65237949242865	2.1235067509686347	2.5	2.9137604568666933
125	17	34.0	52.59895214916014	4.391770072605057	0.96	1.832593790232849
126	41	82.0	39.86519955728528	3.1904494453037278	2.58	2.117451298141235
127	37	74.0	31.03711219014271	4.180151955341176	2.46	2.78
128	37	74.0	48.367587609501264	3.8787604889424285	2.52	2.5941472587345538
129	45	90.0	31.907085175886852	2.192060681712247	5.42	5.052088676973119
130	35	70.0	44.49129583582204	4.199087673406488	2.42	3.086033052318137
131	39	78.0	34.60940897207361	2.5816665315995193	2.68	2.7454689945435553
132	37	74.0	29.54933206677473	2.643878623600705	4.08	5.588702890653609
133	32	64.0	41.48229417720998	5.7910414235716345	1.98	2.3020860105565126
134	29	57.99999999999999	29.74774639473836	2.3355256699679137	3.62	4.922966585301996
135	41	82.0	30.647158729292205	1.9741633939263308	4.5	4.350861983561418
136	40	80.0	26.41470466951676	1.6842317239381912	2.7	3.0545048698602533
137	43	86.0	29.17907500975094	1.8186457382714465	4.16	3.7275192823109577
138	38	76.0	24.548584393568213	2.0938000504528302	3.1	3.366006535941367
139	42	84.0	40.22166876497772	3.0610691423709753	3.48	3.8012629480213547
140	29	57.99999999999999	51.27215252267331	4.3907994626826214	1.94	2.7742386342922987
141	48	96.0	38.27516259145081	2.8000743849027647	4.34	3.496340944473236
142	37	74.0	44.12556472087597	2.8013473822126733	4.06	4.95745902655786
143	39	78.0	33.0821173754327	1.8655474885702172	3.66	4.047764815302391
144	37	74.0	48.122445583274164	3.1759018489228366	1.92	1.6951696080333674
145	42	84.0	29.940692466034413	2.7479410157316426	2.76	2.7536158047193147
146	30	60.0	24.30370023062257	2.6037571568944227	1.92	2.4725695136840944
147	33	66.0	31.286488355000287	2.5383163488281726	2.92	3.77804182083788
148	34	68.0	31.165012377739455	2.3382386919726947	2.94	3.2827427556846427
149	29	57.99999999999999	32.548659861740575	2.471892409875602	4.62	6.209315582252201
150	33	66.0	33.516244159726234	2.5485456338282955	2.8	3.746998799039039
151	39	78.0	30.998246396702466	1.7489805341853009	4.3	4.883646178829912
152	41	82.0	24.256305523128557	2.2709601948235707	3.66	4.047764815302391
153	44	88.0	31.81575302917864	2.6371070032116806	4.4	3.4928498393145957
154	30	60.0	24.486246297551116	2.17660953098747	3.66	4.844006606106148
155	36	72.0	23.68478928496031	2.0042695692460515	3.3	4.215447781671598
156	45	90.0	37.1419152963685	2.4193715041287573	3.42	2.8919889349719163
157	32	64.0	42.35463904645955	4.134741700355058	2.08	3.6432952117554245
158	39	78.0	43.28142348273748	4.077268613299257	2.1	2.137755832643195
159	29	57.99999999999999	29.160596811513756	1.9135655199576824	3.96	5.203690997743813
160	36	72.0	34.79386671994506	2.7846564601209263	3.06	3.6354367000403123
161	44	88.0	28.248500524207696	1.813829255486261	3.08	3.103804117530615
162	41	82.0	27.677048508794254	2.3466878668301416	2.78	2.555699512853575
163	28	56.00000000000001	37.66168600925602	3.3598935609591423	1.82	3.1285140242613583
164	35	70.0	23.29267339089174	1.7967137296586806	3.62	4.265630082414554
165	38	76.0	41.998260998257884	2.733699622434006	3.32	4.3008836301392765
166	42	84.0	30.58682052673059	2.141433556531767	4.52	4.609728842350708
167	41	82.0	27.018666761231128	3.3784463896487695	2.58	2.6839523095614046
168	35	70.0	26.21876330468	2.024410843854513	3.3	4.863126566315131
169	39	78.0	35.073905167819326	2.7152751527099106	3.76	4.301441618806421
170	39	78.0	38.30099017772035	2.760220385704215	3.0	3.8314488121336034
171	33	66.0	27.415873138877238	1.693182925497285	3.28	4.418325474656659
172	34	68.0	26.882755986393352	2.0372986581153025	3.02	4.207089255055091
173	28	56.00000000000001	24.21702277505762	2.3533590288363393	2.04	3.059150208799823
174	40	80.0	60.005083567609255	5.133831950994647	2.7	2.3430749027719964
175	29	57.99999999999999	24.584814184611243	1.9872779434044114	4.48	7.099971830930035
176	41	82.0	41.122115488000766	3.0362452689313053	3.48	4.065661077856835
177	37	74.0	41.79342725767581	3.02968369631448	1.88	1.716275036233995
178	34	68.0	26.182589514248605	1.6060679201282766	3.6	4.975942121849892
179	31	62.0	27.195490207274126	1.533871000839179	3.14	4.538766352215104
180	33	66.0	45.33635316345847	3.5622338954140145	2.1	2.816025568065745
181	46	92.0	37.127495238627425	2.7219912398478328	3.58	2.980536864392051
182	42	84.0	45.26397402421797	3.851488456223725	2.62	2.331437324913539
183	31	62.0	40.05833875529958	4.303532478659937	1.4	1.907878402833891
184	25	50.0	30.295060651293152	2.895602923337222	2.22	3.372180303601811
185	38	76.0	43.16553343470775	3.418891026424591	3.28	3.6934536683164176
186	38	76.0	30.719367998603357	2.652763341049888	3.4	4.39089968002003
187	37	74.0	22.79906338689731	1.4171452621208003	3.74	4.339631320746038
188	38	76.0	27.858445512350816	2.827629057500578	3.44	3.4418599622878325
189	42	84.0	25.80368421609576	1.7606919889550212	3.58	4.108965806623365
190	41	82.0	32.20100389727307	2.8357490370841267	4.2	4.7707441767506245
191	41	82.0	29.848269462809064	2.2782524734488323	3.66	4.111496078071825
192	42	84.0	26.86244358281839	2.6711095581842836	5.26	5.43621191639914
193	35	70.0	36.76490892468348	3.816802832794592	2.8	2.925747767665558
194	43	86.0	29.708126332815656	2.0691270157752575	4.06	4.645040365809538
195	41	82.0	35.123041839066595	2.707463665591576	4.34	3.385911989405513
196	17	34.0	40.26560264904609	8.256727946801892	0.78	1.3310146505579867
197	35	70.0	27.387347827866318	2.382195017254625	4.44	5.008632547911655
198	38	76.0	22.947986290383863	1.5115037847345227	5.7	8.400595217006947
199	39	78.0	24.05918801592531	2.399641631340524	4.4	5.429548784199291
200	37	74.0	37.48884566447894	2.684757026549687	2.36	2.711162112452887
201	38	76.0	30.860690016091226	2.411437456183257	3.62	4.059014658756482
202	42	84.0	29.32337886845506	2.1206498988817084	3.96	4.180717641745255
203	39	78.0	28.070971660714218	1.8196926399818467	3.28	3.8054697476132957
204	35	70.0	22.708678307801538	1.8354790999452202	2.8	3.0528675044947495
205	31	62.0	29.067140043359043	1.5943266599326738	3.86	5.528146163045982
206	28	56.00000000000001	30.772785135776108	1.9271804018909227	3.5	5.8283788483591215
207	38	76.0	49.12727844008474	3.7195754795091767	2.82	2.97112773202365
208	44	88.0	41.9658324391791	3.6328707902948327	3.16	3.0023990407672327
209	27	54.0	24.012440348290884	1.319745975684539	1.56	2.367783773911799
210	43	86.0	43.84279743865908	3.174393283855138	3.32	2.6263282353887143
211	45	90.0	38.72461502691736	3.286106198437577	4.74	3.8616576751441865
212	45	90.0	35.441071319970135	2.599538142235311	3.62	2.689907061591534
213	44	88.0	38.885396800976714	3.140448095016619	3.42	2.706215069058629
214	23	46.0	30.498273436841625	1.9274337966580666	2.16	4.3742885135756655
215	46	92.0	34.66233105656883	2.3236118181427154	5.56	4.065267518872528
216	40	80.0	35.50527095823682	2.878519924567925	2.86	2.5299011838409813
217	41	82.0	31.925854519340586	2.620232008540341	3.64	3.2047464798326875
218	31	62.0	22.986591546754216	1.4715137199363326	3.32	4.793495592988482
219	42	84.0	34.42496598554561	2.710126451329022	2.84	2.8938555596297477
220	18	36.0	41.11499107436805	3.2136444651658933	1.82	3.6149135535998647
221	36	72.0	40.86929507989947	3.310987457922525	3.7	3.471310991541957
222	37	74.0	28.606180792875186	3.193829652047885	2.06	2.335893833203898
223	34	68.0	25.178065501187206	1.7377425263964719	2.94	3.0160238725845656
224	30	60.0	33.87915035426811	2.6989022149374446	3.02	4.240235842497444
225	38	76.0	37.62769854681772	2.6595712356021144	2.86	3.3106494831075066
226	36	72.0	35.18320993807043	2.3374369226461336	3.36	4.748726144978251
227	46	92.0	35.95292161482542	2.3781439119221504	5.72	5.146027594173977
228	16	32.0	86.53087191857578	7.403308219319432	0.8	1.371130920080209
229	29	57.99999999999999	73.37791447587878	7.954766859538108	1.46	2.0318464508914054
230	35	70.0	28.928311966831313	3.0078958752387064	3.02	3.0231771367222264
231	45	90.0	34.89685562917329	2.6084469796873333	3.6	3.2062439083762797
232	36	72.0	43.07302831468995	3.0688530958801907	2.18	2.2062638101550776
233	47	94.0	40.11963431690255	3.264810914134754	3.18	2.1788988044422806
234	37	74.0	39.971292122770144	4.020943540756329	4.12	4.684613111026352
235	42	84.0	58.77280078794453	5.405863084709928	1.92	2.0575713839378693
236	34	68.0	29.37524570032361	2.5646755399269283	3.06	4.451561523780167
237	35	70.0	27.495405524779997	1.829606493594292	4.08	5.183975308583173
238	27	54.0	34.87141950185095	2.798384268402021	1.58	2.173384457476403
239	28	56.00000000000001	34.91675121391056	2.9780338263099266	2.18	4.212790049361586
240	24	48.0	36.116835952850195	3.169997940971741	2.82	5.4025549511319175
241	44	88.0	32.64777680747619	2.09100394620008	4.08	3.217701042670061
242	35	70.0	33.950085303306196	3.105273350392958	2.76	2.895237468671611
243	43	86.0	31.845026818976645	2.092152748638509	3.62	3.381656398867277
244	33	66.0	40.81760077803297	4.183332594367877	2.64	3.4220461715178536
245	26	52.0	23.552528863695496	1.6495180108720042	1.76	2.542125095269704
246	33	66.0	29.218531397751544	1.4937709110403627	3.84	4.482677771154202
247	37	74.0	29.01090395505749	2.4724997346387787	2.28	2.2807016464237493
248	36	72.0	28.775151551554853	2.125195877347487	4.28	5.325561003312234
249	29	57.99999999999999	23.43131436772313	2.035823891120672	2.1	2.858321185591291
250	38	76.0	42.75901619243592	4.172799575106838	3.74	4.890030674750415
251	42	84.0	26.43672745513789	2.7543131641788783	5.3	4.725462940284263
252	40	80.0	22.723599996354483	1.6914232295115499	2.52	2.1839413911549914
253	40	80.0	43.38542101232434	3.490428365750094	2.44	2.2195495038408133
254	33	66.0	31.84559640628455	2.6781592558834135	3.3	3.661966684720111
255	34	68.0	30.007820204245128	2.1864417461315067	2.94	3.9161715999174502
256	38	76.0	43.80859469074492	2.80135804029158	3.22	3.5456452163181806
257	38	76.0	44.80729685287749	3.644794265594017	2.12	2.1784398086704164
258	43	86.0	33.765068161050806	2.3863365138365893	4.4	3.924283374069717
259	36	72.0	50.222140329654	3.31675763899063	2.1	2.0904544960366875
260	42	84.0	32.14018385025977	2.5024480573764305	4.74	3.7299329752691266
261	37	74.0	41.118983499398944	2.9790865234014974	4.14	4.512249993074408
262	42	84.0	26.502503474139054	2.3478090188673577	4.52	5.080314950866727
263	46	92.0	36.0875298542192	2.4029130642217664	4.16	2.7810789273229912
264	35	70.0	22.922085276443916	1.3749999207729255	3.02	3.4263099684646163
265	39	78.0	31.538773866646906	2.0548076393792694	3.26	3.3154788492765266
266	38	76.0	25.21191454350905	1.6579873455004719	3.12	3.0505081543900183
267	43	86.0	38.70456446196792	2.7843756101968107	3.64	3.5482953653832143
268	38	76.0	30.724904552727086	2.0216586838074737	3.9	4.0853396431631
269	25	50.0	35.89598702519812	2.481933000882533	3.2	5.095095681142799
270	43	86.0	46.697863199659864	4.040665802246376	3.4	3.0066592756745814
271	30	60.0	28.441432413954576	1.8704130902367984	1.72	2.2630952255705017
272	43	86.0	40.3138500905211	2.79161293139235	3.54	2.858041287315493
273	36	72.0	58.07831245870235	4.906633628647877	1.54	1.388668426947196
274	26	52.0	33.25404877515291	2.464859285329785	2.8	5.90592922409336
275	46	92.0	34.22508706216189	2.5178589193673964	5.1	4.605431575867782
276	31	62.0	35.453932001816874	3.0971826356287533	2.2	2.4166091947189146
277	22	44.0	86.71632719059106	7.716291328145902	1.26	1.9267589366602147
278	28	56.00000000000001	27.858445512350823	2.3625139673515134	1.72	2.6686326086593484
279	38	76.0	31.325429562182823	2.115222676140492	3.54	3.6997837774659206
280	41	82.0	27.786645395050943	1.9840711759166263	3.88	3.247398959167167
281	39	78.0	34.20320279889716	3.9013840456193005	2.66	2.462600251766413
282	38	76.0	28.468241102006846	2.26439666007599	3.06	3.722418568619064
283	40	80.0	31.87168570106952	2.4607246564066347	3.44	3.3236124924545587
284	35	70.0	29.248275444090453	2.011932146148012	3.38	3.2978174600787113
285	26	52.0	31.381224599629192	2.6717747609856484	1.96	2.9930586362448697
286	41	82.0	36.50931484011515	2.4608180317051036	4.34	5.450174309139112
287	33	66.0	32.202693145033784	2.347196778870918	3.18	5.010748447088519
288	38	76.0	51.07859788215367	3.7958124695285753	2.7	2.677685567799177
289	43	86.0	32.72022807692075	2.7375618176747762	4.72	4.800166663773249
290	27	54.0	50.32291017442719	4.631574394296244	1.54	2.2821919288263204
291	45	90.0	28.456184953998747	2.371046392799863	3.98	3.4087534378420505
292	36	72.0	27.102049751749618	2.3586750469054993	2.8	3.026549190084311
293	43	86.0	41.061551483585724	3.243341138071168	3.66	3.3502835700877616
294	46	92.0	34.91675121391056	2.6266574838177252	3.82	2.8753434577455264
295	27	54.0	33.301092522314924	2.778102029503883	1.74	2.7771208111999734
